x,y
0.321789,0.440559
0.369923,0.990012
0.958145,0.138589
0.878518,0.648427
0.594148,0.939749
0.669553,0.056547
0.687503,0.933804
0.66127,0.530377
0.257944,0.0243858
0.376262,0.0844811
0.0822138,0.364852
0.986967,0.496164
0.845919,0.0439426
0.99395,0.66703
0.908984,0.298759
0.724082,0.258192
0.241999,0.690526
0.13545,0.82399
0.989383,0.406533
0.620049,0.300214
0.501019,0.933457
0.0245154,0.289644
0.797004,0.774755
0.545795,0.688391
0.532848,0.52182
0.935877,0.150503
0.0938242,0.150594
0.830703,0.318493
0.931812,0.460622
0.730716,0.190631
0.515463,0.135084
0.0977873,0.228773
0.473926,0.52567
0.545346,0.96646
0.353122,0.272445
0.452202,0.797796
0.992534,0.0257209
0.608627,0.507576
0.272046,0.627621
0.954371,0.897582
0.837282,0.464228
0.937383,0.211425
0.0419888,0.794753
0.425891,0.509585
0.568919,0.768859
0.429417,0.322535
0.37238,0.0616284
0.656691,0.0949307
0.442863,0.479992
0.870409,0.28233
0.795894,0.701395
0.898752,0.86823
0.992838,0.95231
0.969286,0.545859
0.0191434,0.0615016
0.770753,0.504387
0.444602,0.904484
0.714966,0.950606
0.115281,0.593187
0.419764,0.0296958
0.358624,0.792107
0.577842,0.848297
0.400723,0.80286
0.0917917,0.386661
0.84118,0.704217
0.07242,0.215653
0.042062,0.940414
0.102404,0.486074
0.152638,0.222848
0.0221224,0.521143
0.439204,0.0835485
0.96124,0.962756
0.911194,0.489428
0.454521,0.0895621
0.197306,0.57192
0.97253,0.407453
0.564477,0.527228
0.024985,0.712078
0.925313,0.707524
0.244123,0.763792
0.597334,0.920224
0.0148322,0.928213
0.702352,0.581408
0.868871,0.174592
0.929715,0.821482
0.0480375,0.766154
0.329984,0.0830944
0.660549,0.475921
0.0116037,0.536905
0.185637,0.870273
0.154175,0.794665
0.902376,0.640913
0.202051,0.165154
0.674038,0.648745
0.797294,0.126621
0.935147,0.79286
0.815905,0.46486
0.402381,0.318408
0.461848,0.599003
0.513274,0.90595
0.380497,0.705784
0.587047,0.773705
0.0400711,0.887036
0.812698,0.130898
0.295597,0.789931
0.759128,0.292457
0.869395,0.568838
0.606402,0.236837
0.981063,0.849677
0.769984,0.206949
0.311174,0.235826
0.153308,0.989939
0.822576,0.268809
0.760993,0.00763433
0.886914,0.212493
0.950244,0.161153
0.384462,0.70685
0.608972,0.315699
0.33763,0.392774
0.37135,0.987397
0.218885,0.231879
0.891547,0.15477
0.170793,0.664129
0.0812739,0.12946
0.353805,0.939568
0.442956,0.840803
0.229835,0.974565
0.401364,0.732041
0.194048,0.85583
0.468291,0.412971
0.551326,0.145362
0.743903,0.849569
0.442239,0.0897305
0.38682,0.341663
0.458189,0.221747
0.883508,0.426655
0.913252,0.366934
0.145604,0.873647
0.879998,0.0559765
0.895027,0.724223
0.459149,0.787182
0.119794,0.777877
0.763414,0.145972
0.62421,0.658137
0.698727,0.323695
0.745643,0.531508
0.700579,0.944864
0.00479699,0.28986
0.457756,0.976459
0.782056,0.616719
0.138597,0.918658
0.241467,0.944878
0.336434,0.210978
0.876804,0.646443
0.737565,0.302416
0.209703,0.85359
0.19656,0.957167
0.367618,0.0572232
0.651507,0.516346
0.290157,0.105463
0.31946,0.38449
0.665646,0.198014
0.748836,0.215079
0.469937,0.449583
0.610876,0.731344
0.0264205,0.741292
0.544594,0.771547
0.924021,0.684564
0.755926,0.445457
0.366834,0.366757
0.509352,0.0462504
0.803362,0.898693
0.173146,0.988838
0.0897022,0.936093
0.0574397,0.576806
0.317211,0.493118
0.311366,0.342898
0.137091,0.887272
0.250152,0.297069
0.444357,0.664127
0.391911,0.608492
0.154799,0.148509
0.519929,0.712146
0.605199,0.822043
0.819805,0.540246
0.691602,0.608672
0.915526,0.392093
0.0184299,0.68965
0.668551,0.55678
0.476616,0.889377
0.60296,0.661597
0.218167,0.142313
0.0375278,0.0585129
0.920494,0.811775
0.992722,0.686252
0.828515,0.618205
0.653507,0.18481
0.595844,0.108112
0.715823,0.641583
0.0175337,0.340883
0.962229,0.641355
0.772245,0.725363
0.595163,0.810664
0.860406,0.446302
0.762026,0.467192
0.119577,0.612437
0.428134,0.0282817
0.471293,0.400108
0.2307,0.00486329
0.651594,0.943888
0.337048,0.66327
0.132308,0.624917
0.17076,0.62605
0.343633,0.623579
0.163704,0.61373
0.933019,0.494102
0.675968,0.959835
0.356584,0.806653
0.717366,0.830458
0.423227,0.337128
0.137442,0.500205
0.952559,0.0378288
0.0603806,0.658525
0.753276,0.665385
0.723648,0.367098
0.715355,0.91334
0.687885,0.0149194
0.434202,0.487109
0.858746,0.726327
0.725519,0.0184558
0.807412,0.615321
0.384599,0.123995
0.727902,0.938225
0.108704,0.502992
0.426657,0.161704
0.0681678,0.494561
0.343234,0.750851
0.222241,0.31765
0.592967,0.538755
0.770346,0.0238377
0.583309,0.726699
0.38644,0.0703279
0.407426,0.768336
0.464018,0.336063
0.26175,0.119714
0.438509,0.793375
0.138913,0.112438
0.347226,0.401205
0.0254717,0.853526
0.447371,0.462821
0.772859,0.731747
0.329223,0.648648
0.557465,0.187189
0.542039,0.743554
0.524455,0.277215
0.330162,0.910556
0.16718,0.357098
0.864744,0.581079
0.805145,0.237723
0.455636,0.869924
0.00960632,0.0705765
0.497412,0.588158
0.193935,0.696805
0.913789,0.204254
0.780716,0.557691
0.692122,0.79324
0.823622,0.510257
0.941155,0.551448
0.645728,0.99129
0.846073,0.943937
0.835817,0.607712
0.390347,0.468526
0.955374,0.146804
0.0649052,0.253512
0.164921,0.238615
0.341886,0.198575
0.127747,0.447682
0.287166,0.423134
0.402607,0.503474
0.350636,0.501967
0.338279,0.474681
0.966178,0.46043
0.110205,0.685107
0.831773,0.966186
0.279781,0.399111
0.452647,0.687627
0.970855,0.926351
0.930004,0.831966
0.719541,0.557203
0.834713,0.59358
0.75039,0.831708
0.521485,0.958325
0.378701,0.374245
0.541506,0.394196
0.743907,0.711102
0.922133,0.231517
0.339915,0.522861
0.308434,0.0901604
0.0927219,0.668382
0.506351,0.903672
0.762928,0.759136
0.0138535,0.0821189
0.890149,0.333978
0.046691,0.159951
0.417017,0.543193
0.856262,0.844385
0.790598,0.460489
0.105722,0.174795
0.185579,0.904988
0.292811,0.918398
0.586616,0.181613
0.0580687,0.257924
0.575436,0.335666
0.0798073,0.813157
0.248136,0.435832
0.0795891,0.905276
0.211607,0.455258
0.470472,0.17199
0.949702,0.175081
0.962967,0.603927
0.225603,0.89465
0.560283,0.0291017
0.477437,0.773544
