x,y
0.313184,0.432409
0.205768,0.279027
0.969744,0.103799
0.865854,0.690943
0.591476,0.932263
0.677497,0.0383432
0.69885,0.914364
0.654324,0.512548
0.245833,0.023245
0.389923,0.0789968
0.078001,0.391704
0.979547,0.501874
0.84474,0.0103244
0.983956,0.67749
0.906302,0.278808
0.728278,0.251696
0.24904,0.685555
0.138946,0.826538
0.980656,0.379004
0.625576,0.312121
0.511214,0.946337
0.0202613,0.286166
0.800469,0.801273
0.562848,0.665345
0.546948,0.551828
0.938787,0.175172
0.54617,0.41236
0.82422,0.366701
0.920116,0.482692
0.717998,0.210347
0.514378,0.126505
0.101348,0.221172
0.463453,0.489877
0.558002,0.994907
0.342673,0.283368
0.457279,0.845152
0.989763,0.0403479
0.596598,0.493025
0.276143,0.67439
0.959241,0.903057
0.830315,0.462735
0.936092,0.188493
0.0271212,0.802521
0.423913,0.517365
0.57721,0.79062
0.423873,0.337356
0.375041,0.0769009
0.664154,0.0623173
0.442428,0.464562
0.862749,0.311774
0.793541,0.688265
0.894179,0.891713
0.984951,0.897752
0.961874,0.550327
0.806097,0.949178
0.769741,0.529305
0.44398,0.889095
0.724984,0.960672
0.10687,0.59006
0.409337,0.0137448
0.365141,0.760254
0.591351,0.864974
0.39547,0.798512
0.108198,0.407218
0.843088,0.695653
0.0659356,0.204647
0.0248245,0.917357
0.112439,0.49092
0.165234,0.215951
0.0277044,0.540556
0.439051,0.0995787
0.971117,0.965088
0.911069,0.497978
0.464328,0.0815551
0.183481,0.568947
0.964162,0.394156
0.559178,0.541249
0.0313974,0.708245
0.922727,0.694066
0.242959,0.787753
0.602577,0.920234
0.0139902,0.908629
0.706491,0.578984
0.875266,0.160694
0.930122,0.836789
0.0429296,0.782301
0.337362,0.0761054
0.644541,0.500738
0.00483783,0.567434
0.184687,0.851536
0.15632,0.784373
0.898033,0.646153
0.2026,0.16718
0.380269,0.469465
0.79416,0.128524
0.926398,0.812681
0.810226,0.470344
0.394614,0.315497
0.458823,0.564216
0.507239,0.90782
0.385724,0.675614
0.591552,0.764224
0.040385,0.89731
0.177137,0.723589
0.693613,0.992966
0.761827,0.308631
0.87007,0.565275
0.615537,0.256197
0.980847,0.86465
0.767627,0.188308
0.314507,0.221554
0.16341,0.98012
0.8244,0.271945
0.748696,0.0100167
0.883418,0.208867
0.940466,0.137893
0.381264,0.731252
0.611358,0.314084
0.32848,0.399429
0.070041,0.0437097
0.200311,0.24155
0.89329,0.149933
0.165795,0.632816
0.0887834,0.138075
0.34592,0.945173
0.442846,0.829641
0.216855,0.936565
0.00438894,0.777956
0.190537,0.87405
0.456845,0.422591
0.54927,0.162921
0.736509,0.804868
0.447058,0.106434
0.391334,0.317265
0.45342,0.233
0.881933,0.430696
0.91095,0.354174
0.134734,0.880161
0.874346,0.0938896
0.889306,0.70691
0.460446,0.813733
0.12367,0.765186
0.773574,0.150647
0.625183,0.691013
0.689744,0.34956
0.743384,0.553694
0.816403,0.806375
0.636291,0.0401782
0.242246,0.581413
0.623063,0.759508
0.136282,0.891726
0.251632,0.942894
0.481646,0.0157288
0.874659,0.645078
0.737493,0.308022
0.202614,0.85467
0.199559,0.967847
0.375152,0.0449567
0.654462,0.524169
0.280104,0.124887
0.32164,0.385902
0.66788,0.191452
0.748244,0.200935
0.467651,0.471642
0.604067,0.706926
0.0237744,0.732955
0.555004,0.752569
0.94151,0.687236
0.764094,0.455122
0.367701,0.346611
0.510317,0.0595534
0.798209,0.90218
0.166114,0.979475
0.0865714,0.917013
0.0650819,0.572132
0.324439,0.482058
0.302006,0.34297
0.14609,0.884008
0.256042,0.293029
0.439719,0.643542
0.392841,0.636134
0.154791,0.140651
0.368313,0.968161
0.616045,0.797079
0.827616,0.525198
0.686748,0.577211
0.902207,0.394547
0.0340051,0.679113
0.663477,0.545979
0.474439,0.887074
0.605394,0.662843
0.223455,0.135802
0.0546691,0.0355596
0.937509,0.797175
0.987863,0.668235
0.825549,0.597142
0.645543,0.183203
0.5946,0.0935619
0.715352,0.652877
0.0395486,0.838374
0.961573,0.661289
0.765882,0.718416
0.589445,0.785203
0.854955,0.44496
0.750607,0.446261
0.12395,0.641414
0.42168,0.00777936
0.475881,0.415336
0.233087,0.072501
0.644844,0.906773
0.33544,0.653723
0.120511,0.650112
0.0247836,0.0969692
0.345228,0.640977
0.172091,0.59536
0.9546,0.445635
0.685471,0.9547
0.361926,0.758453
0.107075,0.82664
0.820954,0.966069
0.151097,0.513183
0.951056,0.0534025
0.0675867,0.662648
0.754907,0.631604
0.714773,0.384085
0.704009,0.875823
0.686757,0.012763
0.444524,0.489945
0.861847,0.743261
0.722003,0.0123422
0.807803,0.569374
0.392503,0.133851
0.728898,0.92817
0.103901,0.526043
0.426705,0.165082
0.0613541,0.469635
0.349108,0.74456
0.224394,0.316034
0.594576,0.517867
0.763191,0.0424582
0.587358,0.737061
0.400663,0.0878173
0.411214,0.748969
0.468897,0.35253
0.252287,0.149932
0.433907,0.764155
0.142671,0.149991
0.329355,0.385562
0.0379918,0.848975
0.447583,0.448047
0.773499,0.724929
0.332962,0.620206
0.542397,0.181172
0.53935,0.761856
0.527451,0.315588
0.33287,0.925091
0.153065,0.360149
0.861651,0.592467
0.805508,0.253006
0.464974,0.840576
0.00578185,0.053728
0.503702,0.592053
0.184649,0.697937
0.912543,0.176416
0.779554,0.559298
0.681447,0.799921
0.823612,0.502094
0.9436,0.561141
0.644311,0.96778
0.852007,0.970023
0.841404,0.623663
