mpi_ranks,omp_threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
1,2,0.070529,0.000495,0.085887,0.000144,0.157055,3
2,1,0.068615,0.000982,0.087489,0.000223,0.157309,3
1,4,0.045203,0.000322,0.049292,0.000430,0.095247,3
2,2,0.043321,0.000696,0.049053,0.000701,0.093771,3
4,1,0.038511,0.001017,0.044351,0.000231,0.084111,3
1,8,0.037257,0.000265,0.033150,0.000241,0.070913,3
2,4,0.038605,0.000428,0.030440,0.000498,0.069972,3
4,2,0.040289,0.000693,0.036807,0.000999,0.078788,3
8,1,0.039298,0.001008,0.037671,0.000264,0.078241,3
1,16,0.041708,0.000299,0.030077,0.000387,0.072471,3
2,8,0.039700,0.000377,0.030861,0.000463,0.071401,3
4,4,0.043327,0.000636,0.027968,0.000438,0.072369,3
8,2,0.048066,0.001687,0.037484,0.001339,0.088576,3
16,1,0.034830,0.001880,0.042923,0.000643,0.080277,3
1,32,0.065104,0.001289,0.036651,0.000897,0.103941,3
2,16,0.085517,0.045011,0.049252,0.024542,0.204322,3
4,8,0.054356,0.047380,0.036203,0.005709,0.143648,3
8,4,0.095677,0.001508,0.020013,0.005121,0.122319,3
16,2,0.103134,0.013400,0.017531,0.000317,0.134382,3
32,1,0.145303,0.002202,0.014939,0.000693,0.163137,3
1,64,0.061855,0.002578,0.021981,0.001428,0.087842,3
2,32,0.057558,0.001842,0.025367,0.003095,0.087862,3
4,16,0.510718,0.128664,0.101687,0.117215,0.858285,3
8,8,0.363427,0.181105,0.106609,0.110350,0.761492,3
16,4,0.403937,0.100928,0.076415,0.085033,0.666313,3
32,2,0.542306,0.047663,0.028152,0.031004,0.649126,3
64,1,0.103663,0.001657,0.004770,0.000459,0.110549,3
