mpi_ranks,omp_threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
1,2,0.369043,0.000565,0.485528,0.000556,0.855692,12
2,1,0.389093,0.000890,0.439565,0.000201,0.829749,12
1,4,0.214434,0.000331,0.298833,0.000637,0.514235,12
2,2,0.245771,0.000560,0.283510,0.000250,0.530091,12
4,1,0.241271,0.001022,0.303530,0.000235,0.546059,12
1,8,0.168450,0.000318,0.247537,0.000744,0.417049,12
2,4,0.152580,0.000366,0.223157,0.000488,0.376590,12
4,2,0.166677,0.001444,0.199014,0.000826,0.367961,12
8,1,0.108985,0.001065,0.129390,0.000243,0.239684,12
1,16,0.153411,0.000374,0.190776,0.000619,0.345180,12
2,8,0.157391,0.000371,0.226921,0.000648,0.385331,12
4,4,0.118312,0.001792,0.194634,0.000705,0.315443,12
8,2,0.106415,0.000827,0.105693,0.000369,0.213303,12
16,1,0.133493,0.001779,0.200659,0.000537,0.336469,12
1,32,0.138829,0.001391,0.167226,0.001125,0.308571,12
2,16,0.243114,0.039970,0.129503,0.048627,0.461214,12
4,8,0.173263,0.054702,0.153454,0.043347,0.424766,12
8,4,0.138983,0.064550,0.108126,0.016282,0.327940,12
16,2,0.139435,0.021481,0.110719,0.023803,0.295438,12
32,1,0.218202,0.001874,0.055563,0.000673,0.276312,12
1,64,0.149661,0.002439,0.166455,0.001631,0.320186,12
2,32,0.143277,0.002160,0.152863,0.023335,0.321634,12
4,16,0.428284,0.198752,0.193192,0.100685,0.920913,12
8,8,0.412783,0.198423,0.138458,0.113392,0.863057,12
16,4,0.529200,0.082958,0.106345,0.052598,0.771101,12
32,2,0.646546,0.046115,0.048787,0.015886,0.757334,12
64,1,0.243596,0.001671,0.033780,0.000496,0.279543,12
