mpi_ranks,omp_threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
1,2,0.330925,0.001877,0.392577,0.000489,0.725868,0
2,1,0.501132,0.003522,0.475891,0.000855,0.981400,0
1,4,0.387364,0.001207,0.440250,0.000957,0.829778,0
2,2,0.623498,0.002354,0.244171,0.000619,0.870642,0
4,1,0.336250,0.003937,0.204718,0.000851,0.545756,0
1,8,0.281755,0.000972,0.297602,0.001012,0.581341,0
2,4,0.337206,0.002486,0.266187,0.001307,0.607185,0
4,2,0.439288,0.002488,0.136208,0.000543,0.578527,0
8,1,0.240093,0.004347,0.169583,0.001259,0.415282,0
1,16,0.140030,0.001097,0.150569,0.001028,0.292724,0
2,8,0.136451,0.002315,0.136694,0.003559,0.279018,0
4,4,0.185572,0.003843,0.152676,0.001763,0.343854,0
8,2,0.140446,0.006782,0.092880,0.001258,0.241366,0
16,1,0.094350,0.008158,0.093388,0.002082,0.197978,0
1,32,0.180704,0.002084,0.123541,0.001564,0.307892,0
2,16,0.220176,0.072635,0.099348,0.048740,0.440899,0
4,8,0.234872,0.056295,0.075001,0.007195,0.373363,0
8,4,0.173917,0.057343,0.049838,0.001864,0.282962,0
16,2,0.130494,0.119143,0.039572,0.001072,0.290280,0
32,1,0.266951,0.009215,0.056089,0.002234,0.334489,0
1,64,0.231439,0.002885,0.102033,0.001814,0.338171,0
2,32,0.194849,0.011597,0.131925,0.016187,0.354558,0
4,16,0.488033,0.204690,0.185056,0.113901,0.991680,0
8,8,0.473910,0.165620,0.153045,0.109397,0.901972,0
16,4,0.559549,0.123056,0.111999,0.056766,0.851370,0
32,2,0.626667,0.121566,0.093944,0.039988,0.882165,0
64,1,0.440153,0.017697,0.030540,0.001959,0.490349,0
