mpi_ranks,omp_threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
1,2,2.386299,0.002027,2.827010,0.001020,5.216356,3
2,1,1.846426,0.003760,2.219208,0.000825,4.070219,3
1,4,1.540824,0.001310,1.665902,0.001038,3.209074,3
2,2,2.200717,0.002533,2.263799,0.001007,4.468056,3
4,1,1.162013,0.003979,1.180959,0.000864,2.347815,3
1,8,1.346488,0.000838,1.598491,0.001014,2.946831,3
2,4,1.514591,0.002093,1.120173,0.001109,2.637966,3
4,2,1.304975,0.003499,1.268492,0.001338,2.578304,3
8,1,0.679951,0.004357,0.764360,0.000915,1.449582,3
1,16,0.776256,0.001052,0.824007,0.002843,1.604158,3
2,8,0.594170,0.002511,0.517201,0.003198,1.117081,3
4,4,0.625933,0.005456,0.527292,0.001352,1.160033,3
8,2,0.615070,0.004719,0.574037,0.001894,1.195720,3
16,1,0.446026,0.008288,0.643301,0.002006,1.099621,3
1,32,0.531470,0.002110,0.477083,0.001510,1.012174,3
2,16,0.724189,0.073745,0.562544,0.060054,1.420532,3
4,8,0.508337,0.094835,0.606256,0.056211,1.265639,3
8,4,0.699067,0.054103,0.371935,0.032020,1.157125,3
16,2,0.627308,0.056759,0.451653,0.019396,1.155116,3
32,1,0.657442,0.010226,0.596506,0.001879,1.266053,3
1,64,0.573577,0.003924,0.480345,0.002102,1.059948,3
2,32,0.618048,0.003345,0.554936,0.012183,1.188512,3
4,16,0.616304,0.330204,0.483035,0.149622,1.579165,3
8,8,0.864283,0.169598,0.413480,0.117638,1.564999,3
16,4,0.790566,0.137442,0.356706,0.130642,1.415356,3
32,2,0.863037,0.081892,0.354218,0.057693,1.356840,3
64,1,0.771675,0.015248,0.462343,0.001966,1.251233,3
