mpi_ranks,omp_threads,interp_time,norm_time,mover_time,denorm_time,total_time,voids
1,2,1.423831,0.007485,1.589018,0.001986,3.022320,0
2,1,1.757066,0.015576,2.095399,0.004310,3.872352,0
1,4,1.532061,0.004508,1.871389,0.003435,3.411393,0
2,2,1.743834,0.012990,2.493164,0.005061,4.255049,0
4,1,2.164067,0.017957,1.173751,0.004105,3.359880,0
1,8,0.996765,0.003351,0.918612,0.002438,1.921167,0
2,4,1.328776,0.007647,1.162094,0.002820,2.501337,0
4,2,1.575033,0.010458,0.711045,0.002969,2.299505,0
8,1,0.732833,0.021676,0.806423,0.007345,1.568277,0
1,16,1.100872,0.003792,0.437455,0.004479,1.546598,0
2,8,1.150912,0.008995,0.511262,0.007245,1.678414,0
4,4,0.898227,0.018358,1.193632,0.004963,2.115181,0
8,2,1.226538,0.016829,0.558546,0.005717,1.807630,0
16,1,1.274016,0.026294,0.405508,0.006679,1.712497,0
1,32,1.578498,0.004779,0.321239,0.004230,1.908746,0
2,16,1.358256,0.089502,0.507447,0.041881,1.997087,0
4,8,0.944875,0.128873,0.945253,0.013730,2.032730,0
8,4,1.349746,0.057285,0.637898,0.024628,2.069556,0
16,2,1.060711,0.069721,0.506768,0.022248,1.659449,0
32,1,1.368863,0.043952,0.696737,0.009537,2.119089,0
1,64,1.657372,0.005565,0.440964,0.004629,2.108530,0
2,32,1.752131,0.042085,0.493452,0.045275,2.332944,0
4,16,1.663242,0.217345,0.567771,0.104521,2.552878,0
8,8,1.551285,0.281126,0.691704,0.113774,2.637889,0
16,4,1.208008,0.206380,0.840101,0.057164,2.311653,0
32,2,1.503837,0.171462,0.527782,0.063955,2.267036,0
64,1,1.530293,0.057695,0.785857,0.029239,2.403084,0
