File,Threads,Interpolation,Normalization,Mover,Denormalization,Total,Voids
input.bin,2,0.073352,0.000516,0.088709,0.000461,0.163037,3
input.bin,4,0.043307,0.000324,0.047900,0.000337,0.091869,3
input.bin,8,0.041000,0.000315,0.036373,0.000340,0.078027,3
input.bin,16,0.046291,0.000300,0.036423,0.000419,0.083432,3

input1.bin,2,0.378828,0.000539,0.485684,0.000496,0.865547,12
input1.bin,4,0.231371,0.000325,0.319787,0.000492,0.551975,12
input1.bin,8,0.188191,0.000275,0.259748,0.000444,0.448658,12
input1.bin,16,0.168840,0.000314,0.219169,0.004350,0.392672,12

input2.bin,2,0.344736,0.001948,0.417015,0.000510,0.764209,0
input2.bin,4,0.409895,0.001013,0.480938,0.001158,0.893004,0
input2.bin,8,0.301578,0.000635,0.340359,0.000674,0.643246,0
input2.bin,16,0.179349,0.000638,0.173251,0.001065,0.354302,0

input3.bin,2,4.098309,0.001940,4.631433,0.001346,8.733028,3
input3.bin,4,2.147477,0.001058,2.489729,0.001429,4.639693,3
input3.bin,8,1.239558,0.000853,1.435507,0.001394,2.677312,3
input3.bin,16,0.710092,0.036299,0.792275,0.020256,1.558922,3

input4.bin,2,2.046283,0.007526,2.572561,0.002468,4.628838,0
input4.bin,4,1.659122,0.004304,1.909266,0.002424,3.575117,0
input4.bin,8,1.219704,0.002961,1.123868,0.001896,2.348429,0
input4.bin,16,1.055282,0.003560,0.488410,0.010553,1.557805,0
