File,Threads,Interpolation,Normalization,Mover,Denormalization,Total,Voids
input.bin,2,0.021323,0.000204,0.028003,0.000052,0.049583,3
input.bin,4,0.012996,0.000116,0.016071,0.000045,0.029229,3
input.bin,8,0.010715,0.000090,0.014296,0.000049,0.025150,3
input.bin,16,0.015406,0.000761,0.016309,0.000506,0.032983,3
input1.bin,2,0.115589,0.000199,0.154465,0.000054,0.270307,12
input1.bin,4,0.064804,0.000116,0.127068,0.000054,0.192043,12
input1.bin,8,0.060549,0.000094,0.126611,0.000069,0.187323,12
input1.bin,16,0.077083,0.000828,0.143053,0.000590,0.221554,12
input2.bin,2,0.085948,0.000771,0.119555,0.000179,0.206453,0
input2.bin,4,0.051274,0.000444,0.099188,0.000136,0.151041,0
input2.bin,8,0.048646,0.000417,0.094034,0.000142,0.143239,0
input2.bin,16,0.070242,0.001677,0.103591,0.000945,0.176455,0
input3.bin,2,0.455515,0.000747,0.657462,0.000178,1.113902,3
input3.bin,4,0.256471,0.000460,0.513019,0.000136,0.770087,3
input3.bin,8,0.254494,0.000433,0.536199,0.000206,0.791332,3
input3.bin,16,0.241495,0.001074,0.527692,0.000780,0.771042,3
input4.bin,2,0.569739,0.002967,0.502101,0.000856,1.075663,0
input4.bin,4,0.346360,0.001660,0.379396,0.000546,0.727962,0
input4.bin,8,0.957227,0.001643,0.407044,0.000497,1.366411,0
input4.bin,16,1.769474,0.003296,0.421062,0.001514,2.195346,0
